,department_name,homs_per_100k,total_pop,cluster_category,group
0,"Albuquerque, N.M.",10.4807887142867,286238.0,2,low
1,"Arlington, Texas",4.44531375024449,112478.0,2,low
2,Atlanta,37.7101576896108,490584.0,1,high
3,"Aurora, Colo.",6.00054862158826,116656.0,2,low
4,"Austin, Texas",10.9853528628495,300400.0,2,low
5,Baltimore,29.9733827103345,864100.0,1,high
6,"Baltimore County, Md.",3.89314712670169,642154.0,2,low
7,Boston,19.3144192689736,616120.0,0,mid
8,"Buffalo, N.Y.",14.919152402694,422276.0,0,mid
9,"Charlotte-Mecklenburg, N.C.",25.9439991148518,262103.0,1,high
10,Chicago,25.968253968254,3150000.0,1,high
11,Cincinnati,14.768083402751,433367.0,0,mid
12,Cleveland,43.6409260968192,659931.0,1,high
13,"Columbus, Ohio",10.8240790367268,572797.0,2,low
14,Dallas,27.4094591547015,864665.0,1,high
15,Denver,14.5629157318849,508140.0,0,mid
16,Detroit,44.1902091809523,1432444.0,1,high
17,"El Paso, Texas",5.69105691056911,369000.0,2,low
18,"Fairfax County, Va.",4.30411658007194,487905.0,2,low
19,"Fort Worth, Texas",18.0971739558062,381275.0,0,mid
20,"Fresno, Calif.",14.1643059490085,176500.0,0,mid
21,Honolulu,8.22389409893061,705262.0,2,low
22,Houston,25.2852423084042,1372342.0,1,high
23,Indianapolis,18.8712602624893,503411.0,0,mid
24,"Jacksonville, Fla.",16.7651697151027,542792.0,0,mid
25,"Kansas City, Mo.",23.3084028836992,489094.0,0,mid
26,Las Vegas,14.8483462152769,249186.0,0,mid
27,"Long Beach, Calif.",15.8470234007712,340758.0,0,mid
28,Los Angeles,20.2939472020361,2729878.0,0,mid
29,"Los Angeles County, Calif.",13.4912131142412,1022888.0,0,mid
30,"Memphis, Tenn.",18.5619730139849,646483.0,0,mid
31,"Mesa, Ariz.",1.76715911500672,113176.0,2,low
32,Miami,27.9407655769768,350742.0,1,high
33,Milwaukee,10.3800738171535,674369.0,2,low
34,Minneapolis,11.594117095649,405378.0,2,low
35,"Montgomery County, Md.",3.8299347701636,496092.0,2,low
36,"Nashville, Tenn.",20.6850533807829,449600.0,0,mid
37,"Nassau County, N.Y.",1.63573016268245,1100426.0,2,low
38,New Orleans,27.6255651875916,571934.0,1,high
39,New York City,22.1623263086618,7422506.0,0,mid
40,"Newark, N.J.",32.7373525142018,372663.0,1,high
41,"Oakland, Calif.",32.864739391499,337748.0,1,high
42,Oklahoma City,15.8820665432552,384081.0,0,mid
43,"Omaha, Neb.",9.19801016380123,391389.0,2,low
44,"Orlando, Fla.",17.7279519150409,118457.0,0,mid
45,Philadelphia,23.09833038896,1883253.0,0,mid
46,Phoenix,11.2267718091269,668046.0,2,low
47,Pittsburgh,13.1501222126437,479083.0,0,mid
48,"Portland, Ore.",12.8642871308888,373126.0,0,mid
49,"Prince George's County, Md.",8.07794159999438,569452.0,2,low
50,"Raleigh, N.C.",11.3378684807256,149940.0,2,low
51,"Sacramento, Calif.",15.9699460824201,262994.0,0,mid
52,Salt Lake City,6.11111111111111,180000.0,2,low
53,San Antonio,17.0392318558195,768814.0,0,mid
54,San Diego,8.32560396402819,768713.0,2,low
55,San Francisco,20.5977220113526,669977.0,0,mid
56,San Jose,7.28110716515553,549367.0,2,low
57,Seattle,10.3277060575968,503500.0,2,low
58,"St. Louis, Mo.",42.1792618629174,569000.0,1,high
59,"Tampa, Fla.",23.0159084585181,291103.0,0,mid
60,"Tucson, Ariz.",6.75477239353891,340500.0,2,low
61,"Tulsa, Okla.",11.2197928653625,347600.0,2,low
62,"Virginia Beach, Va.",10.1292865298906,217192.0,2,low
63,"Washington, D.C.",32.8212290502793,716000.0,1,high
64,"Wichita, Kan.",13.8867458725505,259240.0,0,mid
